x,z
163.52325,26.51928
164.15291,25.23537
164.78258,25.21834
165.41224,25.36312
166.0419,25.43126
166.67157,24.59661
167.30123,22.69097
167.93089,22.44611
168.56056,22.74845
169.19022,23.38083
169.81988,21.93723
170.44954,21.65191
171.07921,21.44964
171.70887,21.44538
172.33853,21.21968
172.9682,20.74274
173.59786,22.19273
174.22752,21.64765
174.85719,21.24736
175.48685,22.69735
176.11651,22.87195
176.74618,25.39293
177.37584,24.7201
178.0055,24.57957
178.63517,24.67326
179.26483,25.86561
179.89449,27.87984
180.52415,27.56685
181.15382,27.22831
181.78348,27.56472
182.41314,27.76913
183.04281,27.83087
183.67247,27.77338
184.30213,28.1247
184.9318,29.08072
185.56146,32.83238
186.19112,35.32994
186.82079,36.76077
187.45045,36.67347
188.08011,39.52874
188.70978,42.51602
189.33944,39.46273
189.9691,45.34786
190.59876,48.79505
191.22843,45.63531
191.85809,45.09236
192.48775,50.69643
193.11742,54.50984
193.74708,53.48783
194.37674,63.92307
195.00641,42.02417
195.63607,30.69679
196.26573,26.05937
196.8954,42.45853
197.52506,58.72142
198.15472,65.10478
198.78438,75.73166
199.41405,79.91342
200.04371,84.99584
200.67337,82.84108
201.30304,85.60479
201.9327,78.374
202.56236,86.30317
203.19203,83.9142
203.82169,84.76589
204.45135,89.90366
205.08102,102.8173
205.71068,105.3106
206.34034,113.1163
206.97001,111.0872
207.59967,110.31
208.22933,109.9885
208.85899,110.146
209.48866,114.9581
210.11832,115.5989
210.74798,111.0275
211.37765,109.5435
212.00731,109.0729
212.63697,109.2667
213.26664,109.1879
213.8963,105.9707
214.52596,104.9806
215.15563,105.7194
215.78529,106.4838
216.41495,106.3688
217.04462,108.5023
217.67428,110.178
218.30394,109.2582
218.9336,108.6918
219.56327,110.1908
220.19293,109.222
220.82259,108.8004
221.45226,108.5811
222.08192,108.5023
222.71158,108.5172
223.34125,111.1744
223.97091,111.6599
224.60057,111.5577
225.23024,112.0432
225.8599,111.645
226.48956,106.29
227.11922,101.4546
227.74889,103.6732
228.37855,104.0544
229.00821,104.2141
229.63788,110.6549
230.26754,110.1311
230.8972,108.728
231.52687,108.8132
232.15653,108.8089
232.78619,108.4554
233.41586,108.5023
234.04552,108.3383
234.67518,108.0637
235.30485,111.9388
235.93451,110.9743
236.56417,110.4037
237.19383,104.7953
237.8235,104.2034
238.45316,100.1302
239.08282,103.7329
239.71249,104.9997
240.34215,104.5569
240.97181,104.6612
241.60148,115.0347
242.23114,111.9985
242.8608,111.809
243.49047,108.5577
244.12013,107.8422
244.74979,110.3696
245.37946,113.6848
246.00912,115.2455
246.63878,115.8608
247.26844,117.083
247.89811,117.0468
248.52777,100.6604
249.15743,95.06486
249.7871,95.18836
250.41676,96.70222
251.04642,92.9463
251.67609,79.67282
252.30575,78.64654
252.93541,77.93113
253.56508,81.41025
254.19474,81.64873
254.8244,77.59046
255.45406,60.44182
256.08373,73.1468
256.71339,64.93019
257.34305,70.08713
257.97272,46.64029
258.60238,84.91919
259.23204,44.32584
259.86171,22.68458
260.49137,69.30784
261.12103,48.73756
261.7507,50.55804
262.38036,51.40972
263.01002,46.82341
263.63969,47.40468
264.26935,48.135
264.89901,47.17472
265.52867,39.86941
266.15834,40.09298
266.788,41.47696
267.41766,37.31862
268.04733,35.67487
268.67699,35.99851
269.30665,35.47047
269.93632,32.66205
270.56598,34.63582
271.19564,34.60601
271.82531,35.65358
272.45497,36.07517
273.08463,29.47462
273.71429,29.17227
274.34396,30.36889
274.97362,30.45832
275.60328,29.23828
276.23295,29.35964
276.86261,30.37528
277.49227,30.2965
278.12194,29.1233
278.7516,29.53637
279.38126,29.29364
280.01093,26.2872
280.64059,28.19284
281.27025,27.6797
281.89992,28.15451
282.52958,26.26803
283.15924,25.67399
283.7889,28.12896
284.41857,27.8841
285.04823,27.21979
285.67789,26.03808
286.30756,23.83009
286.93722,27.87984
287.56688,30.08145
288.19655,29.66625
288.82621,27.66054
289.45587,28.08851
290.08554,28.58461
290.7152,29.28725
291.34486,28.59526
291.97453,27.84578
292.60419,28.27801
293.23385,27.94159
293.86351,32.24472
294.49318,32.2362
295.12284,31.66345
295.7525,30.72021
296.38217,30.03247
297.01183,30.00479
297.64149,28.59739
298.27116,28.13109
298.90082,35.51731
299.53048,35.71533
300.16015,35.23839
300.78981,34.15249
301.41947,37.98294
302.04913,38.7899
302.6788,39.47977
303.30846,37.50812
303.93812,44.62606
304.56779,47.19815
305.19745,46.92987
305.82711,51.49063
306.45678,52.06339
307.08644,51.22874
307.7161,50.19394
308.34577,49.03565
308.97543,49.77662
309.60509,62.60509
310.23476,56.21747
310.86442,53.67945
311.49408,55.09325
312.12374,71.03675
312.75341,94.35158
313.38307,72.89768
314.01273,85.6708
314.6424,83.28822
315.27206,76.13621
315.90172,61.37867
316.53139,77.78847
317.16105,83.61824
317.79071,107.8571
318.42038,110.4143
319.05004,112.6713
319.6797,111.1425
320.30937,111.43
320.93903,111.7174
321.56869,111.5833
322.19835,108.2596
322.82802,104.3184
323.45768,112.0559
324.08734,103.3006
324.71701,105.1083
325.34667,113.0865
325.97633,112.5201
326.606,109.3306
327.23566,108.9771
327.86532,109.8373
328.49499,111.4193
329.12465,110.4974
329.75431,109.3923
330.38397,109.6712
331.01364,110.2248
331.6433,110.261
332.27296,110.0417
332.90263,108.0147
333.53229,107.6144
334.16195,104.4398
334.79162,104.8848
335.42128,105.7109
336.05094,106.4604
336.68061,105.5001
337.31027,105.9004
337.93993,112.9374
338.5696,113.3292
339.19926,112.6031
339.82892,113.2589
340.45858,112.1922
341.08825,110.8849
341.71791,109.2816
342.34757,112.7692
342.97724,112.9225
343.6069,114.1468
344.23656,114.7089
344.86623,107.9615
345.49589,108.6407
346.12555,107.3994
346.75522,102.302
347.38488,103.4263
348.01454,102.7023
348.64421,102.0274
349.27387,102.5001
349.90353,111.9835
350.53319,111.7685
351.16286,110.9147
351.79252,109.4434
352.42218,106.5477
353.05185,114.0531
353.68151,114.1106
354.31117,114.2043
354.94084,112.3455
355.5705,107.9402
356.20016,112.3966
356.82983,112.7053
357.45949,106.0963
358.08915,105.7471
358.71881,107.3014
359.34848,107.3994
359.97814,107.0885
360.6078,107.0033
361.23747,107.0928
361.86713,106.8671
362.49679,107.1502
363.12646,106.4668
363.75612,96.79591
364.38578,96.0081
365.01545,97.35802
365.64511,83.43939
366.27477,79.75586
366.90444,83.41171
367.5341,105.2361
368.16376,69.81885
368.79342,66.89119
369.42309,67.91747
370.05275,70.21275
370.68241,68.30711
