x,z
163.52325,59.57835625
164.15291,56.68279129
164.78258,51.47009647
165.41224,48.06822091
166.0419,48.55271918
166.67157,45.54968123
167.30123,52.70297263
167.93089,51.35094891
168.56056,49.12370104
169.19022,50.46707511
169.81988,47.87776935
170.44954,52.13510483
171.07921,47.92946812
171.70887,47.82791988
172.33853,47.11522149
172.9682,47.76603142
173.59786,46.9436494
174.22752,46.19371803
174.85719,46.55157939
175.48685,44.99042126
176.11651,42.36519662
176.74618,43.0250871
177.37584,45.97403246
178.0055,43.88754876
178.63517,44.64205098
179.26483,43.2295255
179.89449,48.65125167
180.52415,53.11324559
181.15382,52.75163525
181.78348,52.17345972
182.41314,57.36559189
183.04281,60.85833698
183.67247,63.84600442
184.30213,61.15598674
184.9318,57.39451694
185.56146,62.43712783
186.19112,59.95482331
186.82079,57.24762026
187.45045,52.22005523
188.08011,49.55632018
188.70978,53.44180988
189.33944,58.88339952
189.9691,56.23740439
190.59876,59.52312905
191.22843,65.7489698
191.85809,66.947471
192.48775,66.54301292
193.11742,64.39340989
193.74708,60.56478488
194.37674,65.61394116
195.00641,63.02991279
195.63607,55.3127285
196.26573,54.40048617
196.8954,57.87097209
197.52506,63.19100208
198.15472,64.97475882
198.78438,70.79466439
199.41405,80.41044799
200.04371,89.1278577
200.67337,100.1286121
201.30304,102.319753
201.9327,103.1780777
202.56236,106.2616774
203.19203,103.8130225
203.82169,103.8222345
204.45135,104.3559466
205.08102,107.6095468
205.71068,112.1343163
206.34034,118.1336423
206.97001,121.4540513
207.59967,127.9282108
208.22933,128.9122341
208.85899,132.7421979
209.48866,132.3055252
210.11832,136.8203867
210.74798,136.4259545
211.37765,136.0034833
212.00731,133.0828731
212.63697,137.2949843
213.26664,140.5583426
213.8963,135.7797881
214.52596,134.6733872
215.15563,131.5816989
215.78529,137.1460601
216.41495,135.974721
217.04462,133.3202048
217.67428,132.5349758
218.30394,138.6321097
218.9336,136.3911216
219.56327,141.2354139
220.19293,137.3639614
220.82259,141.7598616
221.45226,143.410531
222.08192,139.7281148
222.71158,138.6409167
223.34125,136.9231504
223.97091,136.8294374
224.60057,141.0068928
225.23024,141.6888351
225.8599,139.7516064
226.48956,143.5119491
227.11922,140.2346912
227.74889,140.9203408
228.37855,139.3129897
229.00821,134.3992425
229.63788,130.4932516
230.26754,132.981434
230.8972,129.6549317
231.52687,128.9946749
232.15653,127.942523
232.78619,123.4140983
233.41586,126.8548901
234.04552,127.8779785
234.67518,127.5287982
235.30485,128.090136
235.93451,133.2387655
236.56417,132.2524264
237.19383,137.5719404
237.8235,134.7574982
238.45316,130.7673431
239.08282,125.035654
239.71249,126.5952489
240.34215,126.1846828
240.97181,130.9360559
241.60148,130.0452851
242.23114,128.9630594
242.8608,133.6525684
243.49047,136.8041272
244.12013,138.3067318
244.74979,140.1644872
245.37946,139.0271339
246.00912,140.7389911
246.63878,144.1601937
247.26844,141.4702576
247.89811,141.7675565
248.52777,136.9165663
249.15743,130.4011058
249.7871,127.8537494
250.41676,123.9818602
251.04642,117.4578926
251.67609,111.5476773
252.30575,105.9322839
252.93541,101.6602151
253.56508,100.2555876
254.19474,96.14696261
254.8244,89.99618057
255.45406,91.5674522
256.08373,96.56817749
256.71339,93.77551297
257.34305,95.80501499
257.97272,90.35376469
258.60238,95.11050123
259.23204,92.44820414
259.86171,83.31176704
260.49137,79.72024632
261.12103,78.72017315
261.7507,73.33849609
262.38036,73.77557163
263.01002,63.44228404
263.63969,64.64937966
264.26935,71.45528274
264.89901,71.35410786
265.52867,68.14176768
266.15834,65.56735282
266.788,63.27991954
267.41766,65.28422933
268.04733,66.55811335
268.67699,61.61103768
269.30665,54.78426141
269.93632,56.79234509
270.56598,56.11677857
271.19564,59.00813659
271.82531,58.85789414
272.45497,56.01044977
273.08463,52.76175047
273.71429,55.35300685
274.34396,56.02282324
274.97362,59.60406243
275.60328,57.76185176
276.23295,55.48426767
276.86261,53.90848277
277.49227,54.91754768
278.12194,50.23409721
278.7516,47.86090903
279.38126,46.46954726
280.01093,45.47736627
280.64059,45.09247851
281.27025,48.46337374
281.89992,49.3103262
282.52958,53.90527027
283.15924,57.30797755
283.7889,53.98286529
284.41857,55.59010592
285.04823,58.85112367
285.67789,54.20452379
286.30756,56.70029537
286.93722,53.07195186
287.56688,53.9576478
288.19655,55.33939955
288.82621,52.95426676
289.45587,52.68247036
290.08554,53.98194424
290.7152,52.07525791
291.34486,50.96454508
291.97453,45.01095484
292.60419,46.66259577
293.23385,46.52279888
293.86351,46.02513744
294.49318,44.67662538
295.12284,45.73274203
295.7525,52.15669663
