Element_ID,Type,Point_X,Point_Y
1,Line,140,654
1,Line,145,644
1,Line,155,643
1,Line,172,641
1,Line,186,640
1,Line,197,640
1,Line,207,641
1,Line,210,643
1,Line,204,636
1,Line,203,632
1,Line,201,625
1,Line,199,616
1,Line,197,606
1,Line,194,596
1,Line,193,587
1,Line,190,578
1,Line,187,573
1,Line,186,570
1,Line,184,562
1,Line,180,550
1,Line,178,543
1,Line,176,537
1,Line,175,530
1,Line,182,517
1,Line,182,514
1,Line,187,503
1,Line,189,500
1,Line,193,491
1,Line,198,478
1,Line,201,469
1,Line,205,459
1,Line,205,451
1,Line,205,436
1,Line,206,426
1,Line,206,417
1,Line,206,412
1,Line,206,381
1,Line,206,368
1,Line,207,355
1,Line,207,349
1,Line,209,341
1,Line,214,332
1,Line,225,325
1,Line,227,324
1,Line,233,319
1,Line,239,315
2,Line,905,648
2,Line,902,644
2,Line,898,638
2,Line,894,635
2,Line,887,634
2,Line,879,634
2,Line,865,634
2,Line,857,634
2,Line,849,634
2,Line,840,633
2,Line,836,629
2,Line,834,623
2,Line,834,613
2,Line,834,608
2,Line,835,598
2,Line,836,583
2,Line,837,580
2,Line,840,570
2,Line,844,554
2,Line,845,550
2,Line,845,544
2,Line,845,531
2,Line,845,523
2,Line,845,511
2,Line,844,500
2,Line,843,489
2,Line,841,472
2,Line,840,457
2,Line,838,450
2,Line,838,436
2,Line,837,415
2,Line,836,408
2,Line,833,388
2,Line,832,382
2,Line,829,369
2,Line,826,357
2,Line,816,321
